k,x,y,z,var_x,var_y,var_z
0,0.0,0.0,0.0,4.000000001,4.000000001,4.000000001
1,0.0,0.0,0.0,4.001370948444122,4.001370948444122,4.00136948457944
2,0.0,0.0,0.0,4.003608317309736,4.003608317309736,4.003602074927595
3,0.0,0.0,0.0,4.010240183418449,4.010240183418449,4.010210409976578
4,0.0,0.0,0.0,4.01646414032086,4.01646414032086,4.016403536323573
5,0.0,0.0,0.0,4.030127633200418,4.030127633200418,4.029978003731858
6,0.0,0.0,0.0,4.040307708143324,4.040307708143324,4.040076512938936
7,0.0,0.0,0.0,4.053368289305855,4.053368289305855,4.053016668385798
8,0.0,0.0,0.0,4.074207204458433,4.074207204458433,4.0736320300638935
9,-2.0872261483742567,-0.3502976184934113,0.7700108245266112,0.16640176108220384,3.9778019727777076,0.009729537180113722
10,-2.0882350653879436,-0.3504669442885587,0.7703784103631683,0.16660645963094864,3.981692247906809,0.0097815264005494
11,-2.0933019968747146,-0.3513173236469183,0.7722244811738125,0.1689620527794532,4.002584289275987,0.011334544372211043
12,-2.093604057543747,-0.3513680182652782,0.7723345330633269,0.1691725242782572,4.00390121368725,0.011495210452242905
13,-2.096825489410743,-0.3519086687894277,0.7735082200085079,0.17190845561933624,4.018447230312725,0.013685471550137048
14,-2.098100588474215,-0.352122667720862,0.773972785824709,0.17323983894396347,4.024458268016167,0.014793322998950104
15,-2.1025492080986825,-0.3528692762573551,0.7755935827227587,0.17899064364640782,4.046557925749946,0.019728924595807253
16,-2.1034218887651064,-0.35301573760715144,0.7759115326120534,0.18032077504181737,4.051099255839333,0.020892448880189374
17,-2.103504032882148,-0.3530295237934781,0.7759414607563624,0.18044939463381815,4.0515302093481695,0.021005269615291103
18,-2.1059230418070634,-0.35343550426956805,0.776822795303441,0.18450078183174468,4.064490125600685,0.024582265535847383
19,-2.1069977911496305,-0.3536158786557364,0.7772143662957234,0.18646461767977224,4.070415245872735,0.02632955201906154
20,-2.1073674396763225,-0.353677916494184,0.7773490429451124,0.18716337561979887,4.072476912280658,0.026952991664619296
21,-2.1087985613592566,-0.35391810058624484,0.7778704535803813,0.1899812973816499,4.080573689901076,0.02947520666090209
22,-2.109097659573503,-0.35396829801798113,0.7779794261378852,0.19059285906845705,4.082288962280668,0.030024133621091246
23,-2.1135938979158992,-0.35472289836848936,0.7796175722985712,0.20073045210827015,4.10903711342604,0.039184368141580696
24,-2.1141599096502013,-0.35481789169879496,0.7798237913374582,0.20213227052689592,4.112532468957846,0.04045827161217805
25,-2.115469241524694,-0.35503763589759973,0.7803008294346352,0.20548287673891916,4.120728117448488,0.04350867052868098
26,-2.1178891282140264,-0.35544376368811514,0.7811824837837902,0.21207215149444517,4.136279818669043,0.049526967911905605
27,-2.1184542987575123,-0.3555386158417686,0.7813883963456778,0.21368533919550523,4.139987679290258,0.05100372729416711
28,-2.1185360405658584,-0.3555523345090512,0.7814181779140359,0.21392098685830216,4.14052633018097,0.051219545355211865
29,-2.122337747838502,-0.3561903722245996,0.7828032806818381,0.22553158190738676,4.166242135390827,0.0618800916829779
30,-2.122902918381965,-0.35628522437833876,0.7830091932437302,0.22736657059675056,4.170176196267406,0.06356910889052647
31,-2.128626929658024,-0.3572458809511234,0.7850946625586701,0.2475439923522865,4.211644382368013,0.08219616569610266
32,-2.1294991348687633,-0.3573922625054533,0.7854124392218527,0.250873548370632,4.2182231854245975,0.08527764982603356
33,-2.1332289020352926,-0.3580182265664815,0.7867713315444789,0.26587419024230163,4.247133435169176,0.09918075399892451
34,-2.135021114042167,-0.3583190121801909,0.7874243007588895,0.2735226266409242,4.26147431598874,0.10628012739413135
35,-2.1385979307646297,-0.3589193066812988,0.7887274675697213,0.2896434682847134,4.290968440579175,0.12126170746673086
36,-1.9553744493409448,-1.7145524882318721,0.6673663822254814,0.24411202039110266,0.07562413357666213,0.020600820818708173
37,-1.9569830220446072,-1.7166706107259608,0.6650855279230816,0.2509579497550778,0.07552552947585701,0.021570010822287336
38,-1.535706103124716,-1.8782802769389422,0.6852300440034207,0.014912767201504414,0.07366436038228906,0.00921871469505006
39,-1.5263332302028163,-1.8809796466957578,0.6799578666911485,0.01590511855966789,0.0747305508581567,0.010113786947415994
40,-1.523624748513837,-1.881763421947746,0.6784349115274484,0.016241898929524955,0.07515032166514081,0.010389494731612454
41,-1.5211155634927065,-1.8824910295423687,0.6770242595650338,0.016573964550740235,0.07558418968312756,0.010651760768063066
42,-1.5208843807966943,-1.8825581403203817,0.6768943017842857,0.016605531254338734,0.07562634629996033,0.010676256171398666
43,-1.5174879401289294,-1.7521663211330678,0.6706796624843945,0.017104885789975936,0.04111252897149662,0.009029047518380873
44,-1.512257791573892,-1.7526614527493563,0.667828900746605,0.017862061372946218,0.04171484148270613,0.00947738861306546
45,-1.5055432885398834,-1.7533005931677637,0.6641712315911921,0.018940757748582334,0.042723644401675,0.010086201904005937
46,-1.4770447709256491,-1.9151873576792253,0.6608443059151028,0.019186957995566505,0.026146171251785866,0.008612629721873596
47,-1.4685258112367148,-1.91899604712733,0.6562975193405141,0.02074843653417424,0.02728285829651926,0.009294916319610503
48,-1.463820300690593,-1.9211124454604915,0.6537892815694635,0.021688865509734066,0.028077738134053773,0.00969408626903933
49,-1.4630385276439737,-1.9214649703142337,0.6533728072483185,0.021850493091892596,0.028221374355025246,0.009761953429167462
50,-1.2448517102725996,-1.8601218055746764,0.6496711901287207,0.013591353129825708,0.02863164244874833,0.005581586102597256
51,-1.2320022332401743,-1.8602320752789259,0.6466375332859944,0.014423938458317844,0.030037224474683804,0.0059019119862187734
52,-1.2238377051751157,-1.8602913028236885,0.6447106752870024,0.014994659716840724,0.031039190310785895,0.0061163471591347066
53,-1.2164631464586582,-1.8603362683009033,0.6429706872497267,0.015538177217277953,0.032017355734913086,0.006317376498987983
54,-1.2083187975590972,-1.8603753333254833,0.6410495027265772,0.016169494452870987,0.03317872107254464,0.006547548104695986
55,-1.187969727388816,-1.9073635995724694,0.6344389786834796,0.019218470678932564,0.015789733845588357,0.0050714420330246505
56,-1.1828264228505931,-1.8864346143460593,0.6336918260280409,0.018619029185923158,0.02053077674759781,0.005780951463787881
57,-1.1803952138264728,-1.8864037403116503,0.6330866216062543,0.01884916947039143,0.020829817322584487,0.0058477428007029115
58,-1.162843124738506,-1.8861675487209721,0.6287228208723437,0.020607872408910183,0.023193546649934713,0.006354418069921125
59,-1.1424934875830242,-1.8858583104817779,0.6236759643717402,0.02286243922033133,0.02638758670662251,0.006996667817680214
60,-1.1320316457665396,-1.8856814408223745,0.6210867752000102,0.02411257651271028,0.028220919470687132,0.007350297228661888
61,-1.1302397727347708,-1.885649786235854,0.620643684954608,0.024332946318465037,0.02854803835821951,0.007412489172035691
62,-1.12226853241389,-1.885503832147959,0.6186739341823679,0.025335536229612078,0.03004990585859826,0.007694967914075807
63,-1.1147812152042964,-1.8853587004810493,0.6168258074795774,0.026310517522858845,0.031530245817761766,0.00796902545014777
64,-1.0968899345832224,-1.8849773420175007,0.6124177911187267,0.028771910259665318,0.03534279994355383,0.008658768795191644
65,-1.0890887774746307,-1.8847944703882247,0.6104994204467387,0.029903800085870555,0.037127595218658486,0.008975202246460583
66,-1.080623758528644,-1.8845836972426069,0.6084203508506225,0.031172704442315367,0.03914904267069419,0.009329553713381669
67,-1.0508619920350348,-1.883730142401344,0.6011319811776286,0.035975110415146457,0.04696474707663669,0.01066877570439384
68,-1.0470607488773052,-1.8836074241494671,0.600203501905106,0.0366272732769493,0.048043336416409024,0.010850571425954513
69,-1.0462490574340118,-1.8835807915781055,0.6000053116302917,0.036767683581602616,0.04827603149764874,0.010889713150894532
70,-1.032684211998769,-1.8831126924445467,0.5966968757947013,0.03917458775821808,0.0522894275382102,0.011560828388392154
71,-1.0140132641139026,-1.8823932928374063,0.5921543879739648,0.04267621498673184,0.05820203197338441,0.012538137457331962
72,-1.0128998057465322,-1.8823474922441115,0.5918839033587848,0.042892034215761904,0.05856900054049402,0.012598424563926779
73,-1.002619661533617,-1.8819085005768006,0.5893887781057479,0.04492226556279327,0.06203420082548308,0.013165906849002828
74,-0.9667887403411735,-1.8801348430189808,0.5807217114828336,0.05254051408664219,0.07521738920148012,0.015302263248136619
75,-0.9647804737511221,-1.8800234768962056,0.5802372433818679,0.05299297099890388,0.076007999117311,0.015429533492059581
76,-0.9628111456311643,-1.879912973381117,0.5797622979051056,0.05343932884368543,0.07678868883870414,0.015555133881119485
77,-0.9612470586279107,-1.8798242876968363,0.5793851755079977,0.05379572816509185,0.0774125553804171,0.015655453724912286
78,-0.9492047727654729,-1.8791136364350898,0.5764842470067095,0.05659623321068377,0.08232992179520728,0.016444775545795202
79,-0.9330245724812336,-1.8780783955086466,0.5725935101961639,0.060518844875108446,0.08925863757923418,0.017553508322579625
80,-0.9322292690670118,-1.8780250523288,0.5724024656848705,0.06071644723840372,0.0896088261236198,0.017609459433293312
81,-0.9279596711695808,-1.8777346461517137,0.5713771416586577,0.061785043510199075,0.09150436729316808,0.017912196956477094
82,-0.9246566312989355,-1.877505274925106,0.5705842739140992,0.06262075069002639,0.0929888413369213,0.01814914966928419
83,-0.9101001634023236,-1.876444316062921,0.5670934766830138,0.06639859023746084,0.09972028467609076,0.019222418663221823
84,-0.9007239725674632,-1.875716395084842,0.5648476524369279,0.06891512624495467,0.10422161056618116,0.019939267600615967
85,-0.8976408918065184,-1.8754692020008434,0.5641096006831008,0.06975706119482424,0.10573040113613347,0.020179434785495696
86,-0.8899741119263158,-1.8748373398373168,0.5622751021898562,0.07188207871338004,0.10954442138346156,0.020786352867433293
87,-0.8845731987689467,-1.8743772890057926,0.5609834435354077,0.07340616499193157,0.11228478888746286,0.021222289752381135
88,-0.8675600084686144,-1.8728450535949257,0.5569177161097381,0.07835620281438505,0.12121066006196764,0.022641797470206584
89,-0.8520592810309706,-1.8713353275766451,0.5532165417325565,0.08306781017207501,0.12973830012445636,0.023997895660202165
90,-0.8467952753083923,-1.8707971178571192,0.5519600876248232,0.08471262616516403,0.1327216372743541,0.024472395117407633
91,-0.8422482766438204,-1.8703215739613022,0.5508748957468663,0.08615196939711307,0.13533474429181727,0.02488806453559546
92,-0.8335973974089628,-1.8693891580968192,0.5488104516513728,0.08893847758542914,0.14039967271458423,0.025693929426991845
93,-0.8194443471635262,-1.8677836825817486,0.5454329403194729,0.09363568638982482,0.1489538649475982,0.02705563554665434
94,-0.8183309748437111,-1.8676530884855005,0.5451672150089921,0.09401260637285433,0.14964108505863571,0.02716507315201784
95,-0.8099262422624358,-1.8666466414916734,0.5431610224113577,0.09689335787934408,0.15489698683800096,0.02800228434161803
96,-0.8097552804179173,-1.8666257887087738,0.5431202084190696,0.09695260914289457,0.1550051536464886,0.02801951851653758
97,-0.792526636639038,-1.864445003149779,0.5390054571550689,0.10305967340488262,0.1661662089976018,0.029798794666030654
98,-0.7828376615132893,-1.8631481395585858,0.5366893885297479,0.1066147670968369,0.17267320564007382,0.03083706753533085
99,-0.7738050838246799,-1.86189225961364,0.5345284390434921,0.1100092578790103,0.17889188452051052,0.031829997921197756
100,-0.7711011183354621,-1.861507373308573,0.5338811537029837,0.1110407167758609,0.1807824807547804,0.03213199611591579
101,-0.7634754873039666,-1.8603994695219335,0.532054608188159,0.11398810557409704,0.18618708568278222,0.03299564024622786
102,-0.7497094573502787,-1.8583141155226457,0.5287525812863043,0.11945536829240548,0.1962199275428676,0.034600136453916006
103,-0.7471436926882564,-1.8579131058521838,0.5281363828763945,0.12049560673377993,0.1981297912061583,0.034905752943956335
104,-0.7381678500532471,-1.8564792647501598,0.5259786320724222,0.12418818128261438,0.20491133049512636,0.035991391895824995
105,-0.7356971078620846,-1.85607604487668,0.5253840687455709,0.12521938221366136,0.20680566809091144,0.03629477599344435
106,-0.728126063999369,-1.8548172628933877,0.5235603923772647,0.12841953545872267,0.21268558811197782,0.037236798328025573
107,-0.7082202651285554,-1.8513377752349562,0.5187513158632591,0.137129898837015,0.2286963575882432,0.03980428977405181
108,-0.7011348080999218,-1.8500386740737866,0.5170339044524406,0.14033687585029186,0.23459259433173163,0.04075062438492847
109,-0.6993936600716317,-1.849714493862475,0.5166113803414616,0.14113370068483644,0.2360576633941368,0.04098582757499759
110,-0.670828463443808,-1.844112028748519,0.509648309034719,0.15471474292289955,0.2610270641355617,0.044997786286974074
111,-0.6704291390961199,-1.8440298576441485,0.5095505167934364,0.1549115606188399,0.261388860247458,0.045055959098272674
112,-0.664531483040669,-1.8428036923550941,0.5081046268254985,0.15784137629075004,0.26677415992051984,0.04592197447777057
113,-0.6556092211623472,-1.840903617139169,0.5059113485684641,0.16235666035652604,0.27507209916483705,0.04725677685444961
114,-0.6497549351238758,-1.8396271407179405,0.5044682161773766,0.1653745135708899,0.2806168437092789,0.04814894367737181
115,-0.6426371377503255,-1.8380431160497892,0.5027091038122702,0.16910367137249516,0.28746681224733894,0.049251358001250155
116,-0.6368508348912085,-1.8367292930620707,0.5012752605408544,0.17218449148494996,0.2931243287263014,0.0501620321239676
117,-0.6297399096932974,-1.8350823797218823,0.4995083108872054,0.17603210639797717,0.30018780940449974,0.05129920316878363
118,-0.6270626642852175,-1.8344530307945277,0.4988416243629672,0.1774985330532132,0.30287921592965483,0.05173254704438001
119,-0.6143294162423532,-1.8313896604920181,0.49565957532539606,0.18460890740055275,0.3159235572407809,0.05383310066417332
120,-0.6016692245984148,-1.828227901294298,0.4924764162032762,0.1919064722080445,0.3293006500927194,0.05598755870957503
121,-0.5954268215717443,-2.3292194349570954,0.27999496142723146,0.1884843573799187,0.02763396566914027,0.017469593120762975
122,-0.5844170969427624,-2.3363784902636966,0.27389055432283493,0.19435966528737714,0.028539321237059812,0.018015559503310703
123,-0.5715007990822414,-2.34479493826517,0.2666976788333546,0.20142091987798139,0.029649260815012575,0.018675168957450153
